rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0
62.0,441.0,133.0,85.0
13.0,111.0,66.0,309.0
487.0,495.0,321.0,12.0
374.0,36.0,135.0,475.0
317.0,336.0,288.0,147.0
115.0,289.0,471.0,149.0
237.0,366.0,382.0,135.0
236.0,29.0,68.0,468.0
366.0,394.0,445.0,243.0
76.0,440.0,250.0,89.0
352.0,229.0,200.0,398.0
81.0,115.0,171.0,317.0
45.0,157.0,49.0,305.0
339.0,321.0,115.0,241.0
399.0,85.0,55.0,287.0
247.0,44.0,53.0,486.0
92.0,337.0,83.0,52.0
235.0,404.0,317.0,182.0
86.0,359.0,421.0,463.0
360.0,64.0,64.0,476.0
170.0,160.0,399.0,328.0
83.0,215.0,158.0,282.0
171.0,88.0,206.0,393.0
365.0,477.0,277.0,43.0
51.0,348.0,455.0,43.0
34.0,138.0,384.0,266.0
326.0,130.0,189.0,332.0
228.0,492.0,43.0,68.0
63.0,335.0,132.0,328.0
102.0,380.0,343.0,340.0
19.0,56.0,47.0,423.0
451.0,454.0,496.0,76.0
463.0,381.0,485.0,248.0
365.0,500.0,481.0,0.0
240.0,224.0,105.0,181.0
314.0,465.0,454.0,93.0
58.0,309.0,186.0,156.0
284.0,423.0,200.0,8.0
104.0,76.0,107.0,371.0
129.0,387.0,169.0,40.0
244.0,80.0,286.0,451.0
412.0,239.0,291.0,233.0
479.0,364.0,401.0,252.0
263.0,459.0,312.0,50.0
390.0,452.0,351.0,43.0
313.0,193.0,220.0,282.0
317.0,463.0,372.0,94.0
82.0,14.0,253.0,500.0
320.0,93.0,2.0,447.0
484.0,149.0,161.0,353.0
205.0,49.0,48.0,453.0
372.0,143.0,236.0,237.0
352.0,499.0,203.0,248.0
116.0,190.0,280.0,21.0
30.0,152.0,127.0,361.0
20.0,215.0,120.0,184.0
55.0,277.0,398.0,140.0
16.0,44.0,19.0,336.0
485.0,130.0,97.0,378.0
135.0,152.0,103.0,376.0
11.0,497.0,351.0,4.0
145.0,372.0,489.0,115.0
264.0,73.0,74.0,361.0
69.0,396.0,340.0,105.0
325.0,370.0,291.0,125.0
146.0,363.0,162.0,133.0
11.0,185.0,31.0,240.0
450.0,315.0,400.0,357.0
344.0,293.0,198.0,66.0
198.0,120.0,204.0,473.0
